time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/explained_variance
355,49.49400000000001,190.43,249856,703,122,-0.022872271682717837,0.017019741,0.1595703125,0.2,17.40218535810709,6110,0.0003,7.204801082611084,-0.7065894350409507,0.9285299777984619
354,48.217000000000006,192.69,251904,711,123,-0.012760010575584601,0.012909198,0.130859375,0.2,16.581540708243846,6120,0.0003,4.866913318634033,-0.6298864636570215,0.949318528175354
353,45.893,197.22,253952,718,124,-0.011856557836290449,0.010585209,0.1177734375,0.2,18.879558669030665,6130,0.0003,7.390558242797852,-0.6050467665307224,0.9396897554397583
352,45.401,198.64,256000,725,125,-0.013094342479598708,0.012654621,0.14599609375,0.2,25.476111130416392,6140,0.0003,4.046097278594971,-0.7477358913049101,0.9523479342460632
352,41.513000000000005,203.45,258048,732,126,-0.017500548220414202,0.019788267,0.162109375,0.2,23.238710050284862,6150,0.0003,8.006433486938477,-0.725878382101655,0.946563720703125
351,44.155,199.13,260096,740,127,-0.01186077843158273,0.029750755,0.141064453125,0.2,27.70524999499321,6160,0.0003,7.124375820159912,-0.8322552217170596,0.9587714672088623
350,44.735,198.79,262144,748,128,-0.017130093276500703,0.010083288,0.1171875,0.2,42.56085444092751,6170,0.0003,29.42311668395996,-0.5723743634298444,0.9177588820457458
349,44.642999999999994,199.06,264192,755,129,-0.01775769235464395,0.013760861,0.12353515625,0.2,35.16547496914863,6180,0.0003,11.33749008178711,-0.612591280695051,0.9315087199211121
348,44.06399999999999,200.24,266240,762,130,-0.015601507216342726,0.017099258,0.1591796875,0.2,25.680557565391062,6190,0.0003,9.823737144470215,-0.6105396434664726,0.9147789478302002
348,44.666,196.75,268288,770,131,-0.023840830093831755,0.020103356,0.16796875,0.2,24.446059307456018,6200,0.0003,11.535351753234863,-0.6069901545532048,0.9371132254600525
347,38.99100000000001,203.07,270336,777,132,-0.009487361718493048,0.021400692,0.1486328125,0.2,16.369764044880867,6210,0.0003,7.238116264343262,-0.6087575364857912,0.8763260245323181
346,41.816999999999986,197.63,272384,785,133,-0.01282064684346551,0.029589044,0.190380859375,0.2,8.83029833137989,6220,0.0003,2.298844575881958,-0.833209471963346,0.9533511996269226
346,44.512,191.84,274432,793,134,-0.014411929681955371,0.0152138565,0.115625,0.2,26.024872455000878,6230,0.0003,7.60083532333374,-0.48420042227953675,0.9063400030136108
345,49.04,185.29,276480,800,135,-0.01452167105890112,0.015407015,0.136572265625,0.2,15.52405758202076,6240,0.0003,2.6170830726623535,-0.5746052119880914,0.944895327091217
344,46.705,187.51,278528,808,136,-0.013266134131117723,0.022876676,0.179736328125,0.2,16.440716713666916,6250,0.0003,4.7336907386779785,-0.6434838042594493,0.9306666851043701
343,42.871,194.77,280576,816,137,-0.022787762648658828,0.019748582,0.21171875,0.2,11.772187009453773,6260,0.0003,2.421428918838501,-0.715148224402219,0.9311865568161011
343,41.970000000000006,196.47,282624,823,138,-0.020292617972882,0.025722774,0.17763671875,0.2,14.441631700098515,6270,0.0003,3.211470603942871,-0.6543071207590401,0.9352274537086487
342,40.287000000000006,199.89,284672,831,139,-0.01824001589557156,0.019506793,0.16767578125,0.2,19.46205174177885,6280,0.0003,5.797203540802002,-0.6947026792913675,0.9297862648963928
341,35.495,208.98,286720,838,140,-0.016118094306148124,0.026845321,0.19853515625,0.2,14.188787591457366,6290,0.0003,5.534860134124756,-0.7454851320013404,0.9526121616363525
341,32.902,214.65,288768,846,141,-0.018728661797649693,0.021499673,0.17939453125,0.2,14.764686351269484,6300,0.0003,6.829075813293457,-0.8032283822074533,0.9607425928115845
340,38.771,209.07,290816,853,142,-0.02152561019320274,0.010788964,0.149658203125,0.2,35.58944161236286,6310,0.0003,21.514284133911133,-0.6104464256204665,0.9313898086547852
340,36.591,213.12,292864,860,143,-0.021193978437804618,0.01853374,0.173828125,0.2,24.709030920267104,6320,0.0003,11.014355659484863,-0.6613642076030374,0.8984062075614929
339,33.272000000000006,216.65,294912,868,144,-0.01686961838422576,0.02256728,0.187353515625,0.2,15.462085069715977,6330,0.0003,10.698712348937988,-0.6943766167387366,0.9121811985969543
339,32.59799999999999,217.86,296960,875,145,-0.009777981092338451,0.021608703,0.17041015625,0.2,15.050352016091347,6340,0.0003,3.288512706756592,-0.7467717370018363,0.934312641620636
338,33.123999999999995,214.24,299008,882,146,-0.014611581628560088,0.01643335,0.154052734375,0.2,18.5920276299119,6350,0.0003,7.70770788192749,-0.620881421957165,0.89384526014328
338,37.874,205.69,301056,889,147,-0.012909763812785968,0.01194161,0.1341796875,0.2,20.417976500093935,6360,0.0003,10.59586238861084,-0.5534829155541956,0.8494901657104492
338,33.571,212.97,303104,895,148,-0.01458778655505739,0.017855495,0.144921875,0.2,9.744331486523151,6370,0.0003,2.9121339321136475,-0.5423843045718968,0.9192754626274109
338,44.358000000000004,191.97,305152,900,149,-0.012542534340173005,0.02930384,0.20576171875,0.2,8.765744801610708,6380,0.0003,2.442798137664795,-0.7599312478676439,0.9008368253707886
339,44.99100000000001,190.5,307200,906,150,-0.014578510238789023,0.017022923,0.13017578125,0.2,14.789073108136654,6390,0.0003,6.569550514221191,-0.48180479211732746,0.9419859647750854
339,48.398999999999994,183.92,309248,911,151,-0.023222993794479407,0.016704265,0.1494140625,0.2,13.72018250823021,6400,0.0003,3.845400333404541,-0.5417190107516945,0.944343626499176
339,45.389,188.81,311296,915,152,-0.0193017693789443,0.014482352,0.148828125,0.2,13.16188050955534,6410,0.0003,5.457937240600586,-0.603112337179482,0.9433292150497437
340,47.019,188.74,313344,920,153,-0.018450127294636333,0.027116315,0.226806640625,0.2,14.24447845518589,6420,0.0003,6.454347610473633,-0.7846309395506978,0.9313677549362183
340,47.15999999999999,188.54,315392,925,154,-0.025153125922952314,0.020529326,0.184033203125,0.2,13.028393092751504,6430,0.0003,6.4038896560668945,-0.6480647373944521,0.9427677392959595
341,48.70000000000001,189.0,317440,930,155,-0.016587382489524315,0.01577859,0.135107421875,0.2,17.24003175199032,6440,0.0003,8.266708374023438,-0.5462859530933202,0.9328673481941223
341,47.136,192.77,319488,934,156,-0.01954445198934991,0.025040742,0.175341796875,0.2,14.857399095594882,6450,0.0003,6.251158237457275,-0.6128496831282974,0.9365768432617188
341,44.39299999999999,198.24,321536,940,157,-0.013261926005361602,0.017193753,0.144580078125,0.2,13.819362530857324,6460,0.0003,2.2573697566986084,-0.5232453182339668,0.9304491877555847
342,47.300999999999995,193.68,323584,945,158,-0.012000857960083522,0.022784965,0.20859375,0.2,7.244703255593777,6470,0.0003,2.2712297439575195,-0.7648468170315027,0.9347060322761536
342,41.666000000000004,204.19,325632,950,159,-0.03177925583004253,0.0195577,0.180908203125,0.2,14.990424703061581,6480,0.0003,4.853137016296387,-0.6143185770139098,0.9371045827865601
343,39.49199999999999,208.06,327680,954,160,-0.03135271827923134,0.027670458,0.237158203125,0.2,10.481191419064999,6490,0.0003,1.9963767528533936,-0.7532518828287721,0.9322779178619385
343,39.56,207.99,329728,959,161,-0.019269064019317737,0.016999124,0.17666015625,0.2,13.575210146605968,6500,0.0003,3.2111189365386963,-0.7050098776817322,0.928804337978363
343,48.267999999999994,192.54,331776,966,162,-0.01781658723775763,0.013909731,0.11123046875,0.2,16.36587136387825,6510,0.0003,7.764077186584473,-0.49055921360850335,0.933746337890625
342,49.327,190.96,333824,974,163,-0.015673150210932362,0.012933031,0.11513671875,0.2,13.950932930409909,6520,0.0003,4.642090797424316,-0.4486872266046703,0.9427966475486755
342,48.507999999999996,192.56,335872,981,164,-0.014891757394070736,0.013319968,0.1212890625,0.2,15.184049968421458,6530,0.0003,6.929177284240723,-0.5573542575351894,0.9427523016929626
341,48.047,192.06,337920,988,165,-0.024784006527625024,0.016606718,0.1796875,0.2,12.457824568450452,6540,0.0003,6.624061584472656,-0.6525998735800386,0.9488295316696167
341,48.662,190.73,339968,995,166,-0.018120579997776075,0.015722008,0.176025390625,0.2,10.893692768365145,6550,0.0003,3.2285497188568115,-0.6762588140554726,0.9288811087608337
340,52.678000000000004,182.82,342016,1003,167,-0.022043150440731553,0.015874444,0.16240234375,0.2,20.464424332976343,6560,0.0003,7.643099784851074,-0.6582104621455074,0.9356929063796997
339,57.94200000000001,173.67,344064,1013,168,-0.014466466874000616,0.011622751,0.106103515625,0.2,19.163984447717667,6570,0.0003,5.618276119232178,-0.49161271974444387,0.9366443753242493
337,57.213,174.41,346112,1024,169,-0.020065859476744663,0.01636661,0.1439453125,0.2,14.168125066161156,6580,0.0003,6.069450855255127,-0.5843238136731088,0.9499987363815308
337,57.312,173.37,348160,1031,170,-0.01162291711079888,0.014470026,0.134033203125,0.2,14.3582148745656,6590,0.0003,5.319967746734619,-0.5221546716988087,0.9488335251808167
337,53.573,179.4,350208,1038,171,-0.013571232902177145,0.011932153,0.1140625,0.2,12.159765192866326,6600,0.0003,7.079322814941406,-0.4585330215282738,0.9501469135284424
336,56.382,173.93,352256,1045,172,-0.016614446690073236,0.023030087,0.1755859375,0.2,10.808813617378473,6610,0.0003,3.934629440307617,-0.690233773458749,0.9431770443916321
336,56.654,173.18,354304,1053,173,-0.01953318432206288,0.010170644,0.120556640625,0.2,15.120380188524724,6620,0.0003,4.5306620597839355,-0.4923875636421144,0.9472350478172302
336,63.14099999999999,162.6,356352,1060,174,-0.013217903512122575,0.018376919,0.126708984375,0.2,11.010448002815247,6630,0.0003,3.286320447921753,-0.44855656698346136,0.9541280269622803
335,59.585,167.98,358400,1067,175,-0.01916830089612631,0.020719659,0.15078125,0.2,11.851315125823021,6640,0.0003,4.117236614227295,-0.5421640273183584,0.9523341059684753
335,59.306999999999995,167.87,360448,1074,176,-0.013912751794123324,0.02500093,0.18173828125,0.2,10.127483928203583,6650,0.0003,2.3319921493530273,-0.7037944365292788,0.9346213936805725
335,58.056999999999995,170.8,362496,1079,177,-0.013896272149577272,0.022288982,0.150244140625,0.2,8.53020263761282,6660,0.0003,2.327239513397217,-0.5511049264110625,0.9423180222511292
336,55.053999999999995,175.52,364544,1084,178,-0.019646118754462805,0.02153494,0.168505859375,0.2,8.847214381396771,6670,0.0003,2.6398117542266846,-0.5733808499760926,0.9463325142860413
336,54.323,177.27,366592,1089,179,-0.01587738501257263,0.017816171,0.16171875,0.2,11.338052292913199,6680,0.0003,4.198474407196045,-0.6306375615298748,0.9470641613006592
336,57.12299999999999,171.88,368640,1094,180,-0.014577174483565613,0.017833166,0.14736328125,0.2,12.389796942472458,6690,0.0003,3.6656646728515625,-0.6189022817648947,0.9482380151748657
337,54.614,176.77,370688,1098,181,-0.015987227836740205,0.013838619,0.102099609375,0.2,15.430806566774844,6700,0.0003,5.176472187042236,-0.44504769491031765,0.9484178423881531
337,52.044,181.02,372736,1103,182,-0.01670069371466525,0.015478648,0.16240234375,0.2,13.831557169556618,6710,0.0003,6.748432636260986,-0.6332347198389471,0.9546715021133423
338,50.382,183.37,374784,1108,183,-0.01997360735113034,0.01585418,0.147265625,0.2,12.996562943607568,6720,0.0003,4.173517227172852,-0.5426296967081725,0.9528499841690063
338,50.494,185.08,376832,1113,184,-0.015686908610223326,0.030923534,0.181591796875,0.2,10.043957558274268,6730,0.0003,1.7787628173828125,-0.6105652602389455,0.9428014755249023
338,50.7,185.19,378880,1118,185,-0.01538653004099615,0.020926937,0.16943359375,0.2,15.032479099929333,6740,0.0003,5.694316864013672,-0.6862841822206974,0.9478431940078735
339,50.687999999999995,185.01,380928,1123,186,-0.01616294292616658,0.012010085,0.10869140625,0.2,14.674866892397404,6750,0.0003,5.767406463623047,-0.5358341728337109,0.9539007544517517
339,48.994000000000014,190.4,382976,1128,187,-0.0168887954132515,0.022203606,0.1337890625,0.2,13.910656824707985,6760,0.0003,3.7358012199401855,-0.5333058428950608,0.940752387046814
339,52.95,182.95,385024,1133,188,-0.01707072722929297,0.01860351,0.21005859375,0.2,11.780624920874834,6770,0.0003,4.031644821166992,-0.743925761245191,0.9541665315628052
340,49.659000000000006,189.3,387072,1138,189,-0.011467661497590598,0.009445015,0.07978515625,0.2,15.496540841460227,6780,0.0003,6.575711727142334,-0.36482855342328546,0.9408297538757324
340,46.888000000000005,194.03,389120,1143,190,-0.01384873884235276,0.018636612,0.145947265625,0.2,11.368126799911261,6790,0.0003,2.593693256378174,-0.5577899351716041,0.952884316444397
340,50.690999999999995,186.95,391168,1147,191,-0.01608507791243028,0.017178195,0.164990234375,0.2,11.366227626800537,6800,0.0003,3.0957157611846924,-0.6083983782678842,0.9341791868209839
341,49.17400000000001,190.17,393216,1152,192,-0.009830800999770873,0.016979447,0.13017578125,0.2,13.982465371489525,6810,0.0003,4.8444037437438965,-0.5245868412777781,0.9244984984397888
341,50.76700000000001,186.29,395264,1157,193,-0.019479944925114977,0.013285664,0.1283203125,0.2,12.478080497682095,6820,0.0003,4.246181488037109,-0.5084065148606897,0.9516690969467163
341,55.42199999999999,176.52,397312,1162,194,-0.007203587221738417,0.016280197,0.143896484375,0.2,14.26607741713524,6830,0.0003,6.307551860809326,-0.5621013386175037,0.9436123371124268
342,61.51,163.69,399360,1167,195,-0.015704614127753303,0.015683178,0.079345703125,0.2,10.405763158202172,6840,0.0003,2.3623297214508057,-0.2564508209004998,0.9454634785652161
342,60.57599999999999,165.17,401408,1172,196,-0.013862123346189036,0.013198343,0.121533203125,0.2,9.459342809021473,6850,0.0003,6.563938617706299,-0.3680979310534894,0.9513574838638306
342,64.05699999999999,158.66,403456,1177,197,-0.006182553725375328,0.011906299,0.107958984375,0.2,8.503749568015337,6860,0.0003,2.1782519817352295,-0.42548446655273436,0.9525244235992432
342,65.07900000000001,156.67,405504,1182,198,-0.013885324775765184,0.02498444,0.137890625,0.2,6.562338481098413,6870,0.0003,3.121011734008789,-0.4706563264131546,0.952767014503479
343,68.94900000000001,150.0,407552,1187,199,-0.014492506060923916,0.02329448,0.14150390625,0.2,10.971155164390803,6880,0.0003,4.837148189544678,-0.5279398556798697,0.9583824872970581
343,69.68400000000001,149.43,409600,1191,200,-0.01741070448188111,0.014084485,0.08798828125,0.2,8.700297698378563,6890,0.0003,2.4713807106018066,-0.30857405262067916,0.9724079966545105
343,66.615,155.19,411648,1196,201,-0.013632778203464114,0.025876636,0.188720703125,0.2,9.153552117198705,6900,0.0003,3.0556514263153076,-0.7026366557925939,0.9583779573440552
344,65.73599999999999,156.91,413696,1201,202,-0.0135563989111688,0.015037203,0.1322265625,0.2,10.6874356046319,6910,0.0003,2.4897544384002686,-0.503612759616226,0.9581013917922974
344,62.08299999999999,164.39,415744,1206,203,-0.020079175164573825,0.010691821,0.11357421875,0.2,11.085041496157647,6920,0.0003,3.531592607498169,-0.3748425594065338,0.9599635004997253
344,60.33000000000001,167.63,417792,1211,204,-0.006362224719487131,0.018738266,0.161328125,0.2,9.675178776681424,6930,0.0003,2.8434739112854004,-0.5751676676794887,0.9534735679626465
345,60.488000000000014,167.31,419840,1216,205,-0.010766336758388206,0.022680636,0.1294921875,0.2,11.772847633063794,6940,0.0003,5.425138473510742,-0.5115817482583225,0.9615471363067627
345,60.943000000000005,166.28,421888,1221,206,-0.01940161312231794,0.015360988,0.143798828125,0.2,12.13047162219882,6950,0.0003,3.0756211280822754,-0.493956907838583,0.955635666847229
345,58.60099999999999,170.96,423936,1226,207,-0.013657217945728916,0.014924566,0.122998046875,0.2,9.988576565682887,6960,0.0003,3.6633248329162598,-0.5026349116116762,0.9583806991577148
346,63.486999999999995,161.13,425984,1230,208,-0.019172422068368177,0.01279846,0.140283203125,0.2,12.785835629701614,6970,0.0003,5.0390496253967285,-0.5278420778922737,0.9553210139274597
346,63.019,162.27,428032,1235,209,-0.013054219956393354,0.012609204,0.112353515625,0.2,11.738941781967878,6980,0.0003,4.531494140625,-0.4393315942957997,0.9581913352012634
346,56.753000000000014,172.68,430080,1240,210,-0.019907854734628926,0.019475106,0.155126953125,0.2,13.957100203633308,6990,0.0003,7.066195011138916,-0.6110736658796668,0.9598468542098999
347,59.41200000000001,166.89,432128,1245,211,-0.012736001450684853,0.020411186,0.19384765625,0.2,7.886498692259193,7000,0.0003,1.9094892740249634,-0.7734889963641762,0.9569038152694702
347,53.78199999999999,178.3,434176,1250,212,-0.013729627949942369,0.0107980445,0.121484375,0.2,11.560714355111122,7010,0.0003,3.5457077026367188,-0.4675642576999962,0.9590566158294678
347,54.129000000000005,178.33,436224,1255,213,-0.01564251549571054,0.01765664,0.154345703125,0.2,8.893109034746885,7020,0.0003,2.287907600402832,-0.7413830984383821,0.9593109488487244
347,53.244,180.68,438272,1260,214,-0.016251694849052,0.015740752,0.156298828125,0.2,11.684726812690496,7030,0.0003,2.8890035152435303,-0.6518266565166414,0.9576478004455566
347,52.842000000000006,181.46,440320,1265,215,-0.01890522326430073,0.01344124,0.116259765625,0.2,13.769762799143791,7040,0.0003,4.389803886413574,-0.49678977048024536,0.9538963437080383
348,55.28199999999999,176.86,442368,1270,216,-0.012247206254687625,0.014292718,0.133935546875,0.2,11.850568468123674,7050,0.0003,1.884759783744812,-0.5177187259308994,0.9590856432914734
348,54.155,178.41,444416,1275,217,-0.018092798024008518,0.0149270855,0.12578125,0.2,11.871604864299297,7060,0.0003,3.1373889446258545,-0.4787808322347701,0.9478304982185364
348,58.65300000000001,169.18,446464,1280,218,-0.017984564862854314,0.018023547,0.142578125,0.2,8.790639921277762,7070,0.0003,4.2012200355529785,-0.48992545446380975,0.9393949508666992
349,62.15699999999999,164.52,448512,1285,219,-0.01671770893444773,0.014330294,0.129541015625,0.2,9.86167568564415,7080,0.0003,2.496424436569214,-0.40750467623583975,0.9502022862434387
349,63.202,162.07,450560,1289,220,-0.015232723674853333,0.014680949,0.092529296875,0.2,8.428765748441219,7090,0.0003,3.1017444133758545,-0.3572830795776099,0.9598950147628784
349,63.033,161.45,452608,1294,221,-0.017057856457540765,0.02847666,0.176611328125,0.2,7.534835246950388,7100,0.0003,2.376316547393799,-0.6305575794540346,0.9563888311386108
349,60.49100000000001,164.87,454656,1299,222,-0.017636228678748013,0.01974552,0.1666015625,0.2,9.430418495088816,7110,0.0003,4.916581630706787,-0.6447306538932025,0.9539666175842285
350,58.53799999999999,168.56,456704,1303,223,-0.014068327509448864,0.015413014,0.1734375,0.2,10.915037367492914,7120,0.0003,3.3737728595733643,-0.6384223002009094,0.9440752267837524
350,57.898999999999994,169.88,458752,1308,224,-0.01869525852816878,0.014515388,0.16845703125,0.2,13.82402656301856,7130,0.0003,3.2673158645629883,-0.7185078913345933,0.959058940410614
350,55.285999999999994,174.49,460800,1313,225,-0.017252205319528,0.010951903,0.08720703125,0.2,15.065109837055207,7140,0.0003,5.489352226257324,-0.3665691270492971,0.9553591012954712
351,52.58999999999999,177.37,462848,1317,226,-0.011360834039805923,0.020216398,0.16533203125,0.2,10.113101499527692,7150,0.0003,4.104894161224365,-0.6602126758545637,0.9575989246368408
351,52.411,178.3,464896,1323,227,-0.006497053247585427,0.011962646,0.118115234375,0.2,12.406506872922183,7160,0.0003,6.067804336547852,-0.5853690559975803,0.9477710723876953
351,48.685,185.9,466944,1327,228,-0.02322272579622222,0.025243375,0.1462890625,0.2,11.357811108231544,7170,0.0003,3.186903715133667,-0.49758615586906674,0.959231436252594
351,49.44200000000001,184.75,468992,1333,229,-0.013820850945194252,0.019298587,0.165380859375,0.2,9.406861457973719,7180,0.0003,2.094743013381958,-0.611956843920052,0.9604690074920654
351,52.29199999999999,179.44,471040,1339,230,-0.01935280010511633,0.017300788,0.143994140625,0.2,16.785901992022993,7190,0.0003,3.0483345985412598,-0.5808241816237569,0.9578390121459961
351,50.871,183.06,473088,1344,231,-0.013688779537915252,0.011712735,0.129638671875,0.2,12.297625836730003,7200,0.0003,3.7527143955230713,-0.5133701629005373,0.9489135146141052
352,51.93,181.18,475136,1349,232,-0.01754309560346883,0.014604723,0.175537109375,0.2,15.218916623294353,7210,0.0003,7.019030570983887,-0.648762539587915,0.9575989842414856
352,49.805,185.29,477184,1354,233,-0.019993175806303044,0.015443072,0.13291015625,0.2,19.389576026797293,7220,0.0003,5.780883312225342,-0.611541586369276,0.9567765593528748
352,49.82,186.78,479232,1359,234,-0.014885350273107178,0.015348728,0.1365234375,0.2,17.50501680225134,7230,0.0003,3.6100785732269287,-0.5526037861593067,0.9503369927406311
352,46.253000000000014,192.82,481280,1363,235,-0.012843599208281375,0.015188109,0.134716796875,0.2,18.916741935908796,7240,0.0003,3.0839290618896484,-0.6466149750165642,0.9478598833084106
353,44.902,195.57,483328,1368,236,-0.013410111307166517,0.025127161,0.177294921875,0.2,12.445753298699856,7250,0.0003,3.242182731628418,-0.6872459990903735,0.9558501243591309
353,47.92699999999999,188.98,485376,1373,237,-0.019365367892896758,0.013349833,0.142578125,0.2,17.906776919960976,7260,0.0003,4.686379909515381,-0.596085739415139,0.9521797299385071
353,47.191,190.44,487424,1377,238,-0.009912052447907627,0.009604302,0.078173828125,0.2,16.531492103636264,7270,0.0003,6.321615695953369,-0.36775036780163645,0.9458135366439819
353,47.224,190.37,489472,1382,239,-0.01884274524782086,0.018504832,0.165771484375,0.2,8.893642992526292,7280,0.0003,2.467000961303711,-0.6409155913628638,0.9365488886833191
354,52.88,179.26,491520,1387,240,-0.011561583894945215,0.015723998,0.14462890625,0.2,9.779801781475545,7290,0.0003,2.903167486190796,-0.4939348977059126,0.9459813833236694
354,52.31399999999999,180.6,493568,1392,241,-0.01891109151765704,0.01806458,0.135400390625,0.2,12.122419963777066,7300,0.0003,3.740224599838257,-0.42866825200617314,0.938467800617218
354,53.167,178.24,495616,1396,242,-0.012502555546234362,0.023306036,0.157861328125,0.2,7.220903832837939,7310,0.0003,2.081941843032837,-0.4957733640447259,0.9440977573394775
355,57.90199999999999,168.87,497664,1401,243,-0.01871698298200499,0.021641914,0.165625,0.2,9.074309411644936,7320,0.0003,3.3363521099090576,-0.575016203802079,0.9516851902008057
354,63.239000000000004,161.5,499712,1407,244,-0.016351641200890298,0.01372052,0.1181640625,0.2,10.022004008293152,7330,0.0003,3.7260961532592773,-0.43715649396181105,0.9552886486053467
